Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,218,16,P:System.Uri.AbsoluteUri,,,,,result.RedirectingTo = redirectUri.AbsoluteUri;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,214,12,T:System.Uri,,,,,var redirectUri = RedirectUri(responseMessage);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,182,12,T:System.Net.Http.HttpContent,,,,,foreach (var header in responseMessage.Content.Headers)                 result.Headers[header.Key.ToLowerInvariant()] = header.Value.ToArray();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,175,12,T:System.Net.Http.HttpContent,,,,,var result = new WebResult             {                 ContentBytes = await responseMessage.Content.ReadAsByteArrayAsync()             };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,165,20,T:System.Net.Http.HttpContent,,,,,"request.Content = FormUrlEncodedContentWithEncoding(webRequest.PostData, webRequest.Encoding);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,159,20,T:System.Net.Http.HttpContent,,,,,request.Content = new StringContent(webRequest.RawBody);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,156,20,T:System.Net.Http.HttpContent,,,,,request.Content = str;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,146,16,T:System.Uri,,,,,request.Headers.Referrer = new Uri(webRequest.Referer);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,146,16,M:System.Uri.#ctor(System.String),,,,,request.Headers.Referrer = new Uri(webRequest.Referer);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,146,16,T:System.Uri,,,,,request.Headers.Referrer = new Uri(webRequest.Referer);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,119,16,T:System.Uri,,,,,"var cookieUrl = new Uri(request.RequestUri.Scheme + ""://"" + request.RequestUri.Host);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,119,16,T:System.Uri,,,,,"var cookieUrl = new Uri(request.RequestUri.Scheme + ""://"" + request.RequestUri.Host);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,119,16,T:System.Uri,,,,,"var cookieUrl = new Uri(request.RequestUri.Scheme + ""://"" + request.RequestUri.Host);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,119,16,M:System.Uri.#ctor(System.String),,,,,"var cookieUrl = new Uri(request.RequestUri.Scheme + ""://"" + request.RequestUri.Host);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,110,12,T:System.Uri,,,,,request.RequestUri = new Uri(webRequest.Url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,110,12,M:System.Uri.#ctor(System.String),,,,,request.RequestUri = new Uri(webRequest.Url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,110,12,T:System.Uri,,,,,request.RequestUri = new Uri(webRequest.Url);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,103,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,client.Timeout = TimeSpan.FromSeconds(ClientTimeout);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient2.cs,51,12,T:System.Uri,,,,,if (hosts != null && hosts.Contains(request.RequestUri.Host))                 return true;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient.cs,210,40,T:System.Uri,,,,,"newRedirectingTo = newRedirectingTo.Replace(""file://"", request.RequestUri.Scheme + ""://"" + request.RequestUri.Host);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient.cs,210,40,T:System.Uri,,,,,"newRedirectingTo = newRedirectingTo.Replace(""file://"", request.RequestUri.Scheme + ""://"" + request.RequestUri.Host);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient.cs,208,40,T:System.Uri,,,,,"newRedirectingTo = newRedirectingTo.Replace(""file://"", request.RequestUri.Scheme + "":"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient.cs,196,36,P:System.Uri.AbsoluteUri,,,,,result.RedirectingTo = redirectUri.AbsoluteUri;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient.cs,192,32,T:System.Uri,,,,,var redirectUri = RedirectUri(response);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient.cs,160,32,T:System.Net.Http.HttpContent,,,,,foreach (var header in response.Content.Headers)                                     result.Headers[header.Key.ToLowerInvariant()] = header.Value.ToArray();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient.cs,153,32,T:System.Net.Http.HttpContent,,,,,var result = new WebResult                                 {                                     ContentBytes = await response.Content.ReadAsByteArrayAsync()                                 };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient.cs,142,36,T:System.Net.Http.HttpContent,,,,,"request.Content = FormUrlEncodedContentWithEncoding(webRequest.PostData, webRequest.Encoding);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient.cs,136,36,T:System.Net.Http.HttpContent,,,,,request.Content = new StringContent(webRequest.RawBody);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient.cs,133,36,T:System.Net.Http.HttpContent,,,,,request.Content = str;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\HttpWebClient.cs,123,32,T:System.Uri,,,,,request.Headers.Referrer = new Uri(webRequest.Referer);
